screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
thanasima_agna,2021-09-11T11:29:53Z,"ΥΠΕΡΟΧΕΣ ΣΩΣΤΕΣ ΕΡΩΤΗΣΕΙΣ απο @nataly_argyraki στην κυρια Ανασολγου. 

Μονο συγχαρητηρια για την επιλογη της για 2η συνεχομενη σεζον στο @kalytera_alpha! #kalytera #γυναικοκτονια #metoo",,,"♋με♑:50% Θανάσιμα+50% Αγνά Tweets.
1.👮‍♂️της📺 & της ελλ. γλώσσας. 2.🐶,🐱,🍫,🥯,🥞=♥️. 3.9⃣0⃣s=💙. 4.Ρατσισμός:🚫 5.Humour: ➕➕➕
👨‍🎓: ΠΑΛΙΕΣ ΕΛΛΗΝΙΚΕΣ ΣΕΙΡΈΣ",Twitter Web App,el,1436653216108883969
AlexChalkiotis,2021-09-11T11:29:32Z,"Oυτε η Ζουμπουλια δε θα μιλουσε τοσο οπισθοδρομικα. Αντε να πετουσε κανενα ""τι ειναι μαρη το μιτου;"" και να εληγε εκει. Ηταν σαν να την ξεπερασε χωρις να την αγγιξει το #metoo
#xamogelakaipali #kalytera",,,Ξυπνηστε με οταν φυγει η χουντογκαντεμια του Κουλη.,Twitter for Android,el,1436653128443650048
_the_daughter_,2021-09-11T11:28:32Z,"Ετσι θα έλεγες στη κόρη σου αν της έδειχνε την ""αδυναμία"" του ο Φιλιππίδης;  Ότι οι ηθοποιοί είναι γνωστό ότι έχουν αδυναμίες;
Ο βιασμός δεν είναι αδυναμία.
Ντροπή σου 
#xamogelakaipali #MeToo",,,"Αποφεύγω την ένταση, τους γρήγορους ρυθμούς και τους ανθρώπους με παρωπίδες.",Twitter for Android,el,1436652879163576322
arxibiftekasgk,2021-09-11T11:28:00Z,"Αντί να υποστηρίξει της γυναίκες που έπεσαν θύματα βιασμού ως γυναίκα , μάνα και ηθοποιός . Η Ελισάβετ Κωνσταντινίδου ξεπλένει έναν  συνάδερφο με την χειρότερη δικαιολογία που λέει ότι οι ηθοποιοί έχουν ""αδυναμίες "" σε μια εκπομπή που υποστήριξε πέρσι το κίνημα #MeToo . 🤢",,,"Μόνο James ,Νίκος ,Άμι
Πυρκαγιές 2021 μύθοι και αλήθειες
https://t.co/mI8O9H15Ea


Παναθηναϊκός ☘️
🐶🐕🐱🐈🦭🐭",Twitter Web App,el,1436652744518127616
tritrina2,2021-09-11T11:23:47Z,Ειδα τις δηλώσεις της Ελισάβετ Κωνσταντινίδου και εχω σιχαθεί... Είναι δυνατόν να ακούστηκε το επιχείρημα «εσείς δεν εχετε κάνει πράγματα που ντρέπεστε???» Ο βιασμός κ η παρενοχληση είναι έγκλημα!!! #metoo,,,,Twitter for iPhone,el,1436651683740897282
TNotabook,2021-09-11T11:19:17Z,"Μήπως τελικά αυτοί του ""Παρά πέντε"" κοιτούσαν μόνο την πάρτη τους; #MeToo #MeTooGr https://t.co/LzMbKqmvYL",,,Μεταξύ της δικαιοσύνης και της απονομής δικαιοσύνης υπάρχει ένας ολόκληρος κόσμος που τις χωρίζει.,Twitter for Android,el,1436650548191801345
thanasima_agna,2021-09-11T11:09:58Z,"''Oλοι εχουμε αδυναμιες αρκει οι αδυναμιες μας να μην ειναι ποινικα αδικηματα''

ΔΟΞΑ ΚΑΡΑΔΟΞΑ @nataliagermanou ΓΙΑ ΑΛΛΗ ΜΙΑ ΦΟΡΑ στην απαντηση στην Ελισαβετ Κων/δου! #MeToo  #kalytera #Φιλιππιδης #xamogelakaipali https://t.co/7rRH5SN9yW",,,"♋με♑:50% Θανάσιμα+50% Αγνά Tweets.
1.👮‍♂️της📺 & της ελλ. γλώσσας. 2.🐶,🐱,🍫,🥯,🥞=♥️. 3.9⃣0⃣s=💙. 4.Ρατσισμός:🚫 5.Humour: ➕➕➕
👨‍🎓: ΠΑΛΙΕΣ ΕΛΛΗΝΙΚΕΣ ΣΕΙΡΈΣ",Twitter Web App,el,1436648207254269952
sophiamel98,2021-09-11T11:09:39Z,"Αδυναμία είναι να φας 2 πίτα γύρο ενώ κάνεις δίαιτα. Αδυναμία είναι να ξοδέψεις τον μισθό σου για πράγματα που δεν χρειάζεσαι. Αδυναμία δεν είναι να πράττεις ποινικά αδικήματα.
Kρίμα για την Ελισάβετ Κωνσταντινίδου!#kalytera #MeToo",,,Η σιωπή είναι συνενοχή,Twitter for Android,el,1436648127629570049
Horrific_Bitch1,2021-09-11T11:06:42Z,Αυτό. 👇🏼 #Kalytera #XamogelaKaiPali #MegaKalimera #Metoo https://t.co/u8nuEDw650,,,"♓ | 🏳️‍🌈 Gay | Journalist | Eurovision Fan |
❤️ Photography",Twitter for Android,el,1436647384126210049
thanasima_agna,2021-09-11T11:06:22Z,"''ΝΑ ΤΟΝ ΚΡΕΜΑΣΟΥΝ ΚΙΟΛΑΣ ΤΟΝ #ΦΙΛΙΠΠΙΔΗΣ; ΔΕΝ ΕΧΟΥΝ ΑΔΥΝΑΜΙΕΣ ΟΙ ΗΘΟΠΟΙΟΙ;''

Ελισαβετ Κων/δου να σου πουμε απλα ''ΣΚΑΣΕ''; #MeToo  #kalytera",,,"♋με♑:50% Θανάσιμα+50% Αγνά Tweets.
1.👮‍♂️της📺 & της ελλ. γλώσσας. 2.🐶,🐱,🍫,🥯,🥞=♥️. 3.9⃣0⃣s=💙. 4.Ρατσισμός:🚫 5.Humour: ➕➕➕
👨‍🎓: ΠΑΛΙΕΣ ΕΛΛΗΝΙΚΕΣ ΣΕΙΡΈΣ",Twitter Web App,el,1436647300600893450
